Model,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAPE,Test_MAPE,Training_Time,Overfit_Score
Random Forest,265.86561995201663,623.9582595120545,577.7796543207786,1170.6867575897484,0.9844952448371567,0.9341515442200126,3.0219404034688266,7.101772469217539,0.5680291652679443,0.050343700617144105
XGBoost,498.44561767578125,719.232421875,756.228016209397,1149.5959072648093,0.9734389185905457,0.9365028142929077,6.1873894184827805,8.377129584550858,0.31127047538757324,0.03693610429763794
CatBoost,756.0473752980805,850.9041512130117,1118.843417056795,1372.471215712516,0.9418594621426801,0.909495395888186,9.205251304898455,9.815970720247222,0.4770636558532715,0.03236406625449417
LightGBM,787.2609583790495,888.6310074901381,1251.0249925376288,1563.7978704049513,0.92731038056549,0.882503368001803,9.529771454158729,10.27964232540235,0.12011241912841797,0.04480701256368702
Gradient Boosting,1185.5848413400997,1165.23204652462,1683.0698794512864,1683.3163523227672,0.8684336825653187,0.8638568898206023,14.312579453066224,13.79916303934587,1.198354721069336,0.004576792744716451
